name,category,mechanic,force,level,equipment,direct_muscles,indirect_muscles
Seated Two-Arm Palms-Up Low-Pulley Wrist Curl,strength,isolation,pull,beginner,cable,forearms,
See-Saw Press (Alternating Side Press),strength,compound,push,intermediate,dumbbell,shoulders,abdominals; triceps
Shotgun Row,strength,compound,pull,beginner,cable,lats,biceps; middle back
Shoulder Circles,stretching,,pull,beginner,,shoulders,traps
Shoulder Press - With Bands,strength,compound,push,beginner,bands,shoulders,triceps
Shoulder Raise,stretching,,pull,beginner,,shoulders,lats
Shoulder Stretch,stretching,,pull,beginner,,shoulders,
Side Bridge,strength,,static,beginner,body only,abdominals,shoulders
Side Hop-Sprint,plyometrics,compound,push,beginner,other,quadriceps,abductors; adductors; calves; hamstrings
Side Jackknife,strength,compound,pull,beginner,body only,abdominals,
Side Lateral Raise,strength,isolation,push,beginner,dumbbell,shoulders,
Side Laterals to Front Raise,strength,isolation,push,beginner,dumbbell,shoulders,traps
Side Leg Raises,stretching,,pull,beginner,body only,adductors,
Side Lying Groin Stretch,stretching,isolation,static,beginner,,adductors,hamstrings
Side Neck Stretch,stretching,isolation,static,beginner,,neck,
Side Standing Long Jump,plyometrics,compound,push,beginner,,quadriceps,calves; glutes; hamstrings
Side to Side Box Shuffle,plyometrics,compound,push,beginner,other,quadriceps,abductors; adductors; calves; hamstrings
Side To Side Chins,strength,compound,pull,intermediate,other,lats,biceps; forearms; middle back; shoulders
Side Wrist Pull,stretching,isolation,static,beginner,,shoulders,forearms; lats
Side-Lying Floor Stretch,stretching,,static,beginner,,lats,
Single Dumbbell Raise,strength,isolation,,beginner,dumbbell,shoulders,forearms; traps
Single Leg Butt Kick,plyometrics,compound,push,beginner,body only,quadriceps,calves; hamstrings
Single Leg Glute Bridge,strength,isolation,push,beginner,body only,glutes,hamstrings
Single Leg Push-off,plyometrics,compound,push,beginner,other,quadriceps,calves; hamstrings
Single-Arm Cable Crossover,strength,isolation,push,beginner,cable,chest,
Single-Arm Linear Jammer,strength,compound,push,intermediate,barbell,shoulders,chest; triceps
Single-Arm Push-Up,strength,compound,push,intermediate,body only,chest,shoulders; triceps
Single-Cone Sprint Drill,plyometrics,,push,beginner,other,quadriceps,calves; glutes; hamstrings
Single-Leg High Box Squat,strength,compound,push,beginner,other,quadriceps,glutes; hamstrings
Single-Leg Hop Progression,plyometrics,compound,push,beginner,other,quadriceps,abductors; adductors; calves; hamstrings
Single-Leg Lateral Hop,plyometrics,compound,push,beginner,other,quadriceps,abductors; adductors; calves; hamstrings
Single-Leg Leg Extension,strength,isolation,push,beginner,machine,quadriceps,
Single-Leg Stride Jump,plyometrics,compound,push,beginner,other,quadriceps,abductors; adductors; calves; hamstrings
Sit Squats,stretching,,push,beginner,,quadriceps,abductors; glutes; hamstrings
Sit-Up,strength,isolation,pull,beginner,body only,abdominals,
Skating,cardio,,,intermediate,other,quadriceps,abductors; adductors; calves; glutes; hamstrings
Sled Drag - Harness,strongman,compound,push,beginner,other,quadriceps,calves; glutes; hamstrings
Sled Overhead Backward Walk,strength,compound,pull,beginner,other,shoulders,calves; middle back; quadriceps
Sled Overhead Triceps Extension,strength,isolation,push,beginner,other,triceps,
Sled Push,strongman,compound,push,beginner,other,quadriceps,calves; chest; glutes; hamstrings; triceps
Sled Reverse Flye,strength,isolation,pull,beginner,other,shoulders,
Sled Row,strength,compound,pull,beginner,other,middle back,biceps; lats
Sledgehammer Swings,plyometrics,compound,pull,beginner,other,abdominals,calves; forearms; lats; middle back; shoulders
Smith Incline Shoulder Raise,strength,isolation,push,beginner,barbell,shoulders,chest
Smith Machine Behind the Back Shrug,strength,isolation,pull,beginner,machine,traps,shoulders
Smith Machine Bench Press,strength,compound,push,beginner,machine,chest,shoulders; triceps
Smith Machine Bent Over Row,strength,compound,pull,beginner,machine,middle back,biceps; lats; shoulders
Smith Machine Calf Raise,strength,isolation,push,beginner,machine,calves,
Smith Machine Close-Grip Bench Press,strength,compound,push,beginner,machine,triceps,chest; shoulders
Smith Machine Decline Press,strength,compound,,beginner,machine,chest,shoulders; triceps
Smith Machine Hang Power Clean,strength,compound,pull,intermediate,machine,hamstrings,glutes; lower back; quadriceps; shoulders; traps
Smith Machine Hip Raise,strength,isolation,pull,beginner,machine,abdominals,
Smith Machine Incline Bench Press,strength,compound,push,beginner,machine,chest,shoulders; triceps
Smith Machine Leg Press,strength,compound,push,intermediate,machine,quadriceps,calves; glutes; hamstrings
Smith Machine One-Arm Upright Row,strength,compound,pull,beginner,machine,shoulders,biceps; traps
Smith Machine Overhead Shoulder Press,strength,compound,push,beginner,machine,shoulders,triceps
Smith Machine Pistol Squat,strength,compound,push,intermediate,machine,quadriceps,calves; glutes; hamstrings
Smith Machine Reverse Calf Raises,strength,isolation,push,beginner,machine,calves,
Smith Machine Squat,strength,compound,push,beginner,machine,quadriceps,calves; glutes; hamstrings; lower back
Smith Machine Stiff-Legged Deadlift,strength,compound,pull,beginner,machine,hamstrings,glutes; lower back
Smith Machine Upright Row,strength,compound,pull,beginner,machine,traps,biceps; middle back; shoulders
Smith Single-Leg Split Squat,strength,compound,push,beginner,machine,quadriceps,calves; glutes; hamstrings
Snatch,olympic weightlifting,compound,pull,intermediate,barbell,quadriceps,biceps; glutes; hamstrings; lower back; shoulders; traps; triceps
Snatch Balance,olympic weightlifting,compound,push,intermediate,barbell,quadriceps,calves; glutes; hamstrings; shoulders; triceps
Snatch Deadlift,olympic weightlifting,compound,pull,intermediate,barbell,hamstrings,forearms; glutes; hamstrings; lower back; quadriceps; traps
Snatch from Blocks,olympic weightlifting,compound,pull,expert,barbell,quadriceps,calves; forearms; glutes; hamstrings; lower back; shoulders; traps; triceps
Snatch Pull,strength,compound,pull,intermediate,barbell,hamstrings,calves; glutes; lower back; quadriceps; traps
Snatch Shrug,olympic weightlifting,compound,pull,intermediate,barbell,traps,forearms; shoulders
Speed Band Overhead Triceps,strength,isolation,push,beginner,bands,triceps,
Speed Box Squat,powerlifting,compound,push,intermediate,barbell,quadriceps,calves; glutes; hamstrings
Speed Squats,strength,compound,push,expert,barbell,quadriceps,calves; glutes; hamstrings; lower back
Spell Caster,strength,compound,pull,beginner,dumbbell,abdominals,glutes; shoulders
Spider Crawl,strength,compound,pull,beginner,body only,abdominals,chest; shoulders; triceps
Spider Curl,strength,isolation,pull,beginner,e-z curl bar,biceps,
Spinal Stretch,stretching,isolation,static,beginner,,middle back,lats; lower back; neck; traps
Split Clean,olympic weightlifting,compound,pull,intermediate,barbell,quadriceps,calves; forearms; glutes; hamstrings; lower back; shoulders; traps
Split Jerk,olympic weightlifting,compound,push,intermediate,barbell,quadriceps,glutes; hamstrings; shoulders; triceps
Split Jump,plyometrics,compound,push,beginner,body only,quadriceps,calves; glutes; hamstrings
Split Snatch,olympic weightlifting,compound,pull,expert,barbell,hamstrings,calves; forearms; glutes; hamstrings; lower back; quadriceps; shoulders; traps; triceps
Split Squat with Dumbbells,strength,compound,push,beginner,dumbbell,quadriceps,glutes; hamstrings
Split Squats,stretching,,push,intermediate,,hamstrings,calves; glutes; quadriceps
Squat Jerk,strength,compound,push,expert,barbell,quadriceps,calves; glutes; hamstrings; shoulders; triceps
Squat with Bands,powerlifting,compound,push,intermediate,barbell,quadriceps,adductors; calves; glutes; hamstrings; lower back
Squat with Chains,powerlifting,compound,push,intermediate,barbell,quadriceps,adductors; calves; glutes; hamstrings; lower back
Squat with Plate Movers,strength,compound,push,intermediate,barbell,quadriceps,abductors; adductors; calves; glutes; hamstrings
Squats - With Bands,strength,compound,push,beginner,bands,quadriceps,calves; glutes; hamstrings; lower back
Stairmaster,cardio,,,intermediate,machine,quadriceps,calves; glutes; hamstrings
Standing Alternating Dumbbell Press,strength,compound,push,beginner,dumbbell,shoulders,triceps
Standing Barbell Calf Raise,strength,isolation,push,beginner,barbell,calves,
Standing Barbell Press Behind Neck,strength,compound,push,intermediate,barbell,shoulders,triceps
Standing Bent-Over One-Arm Dumbbell Triceps Extension,strength,isolation,push,beginner,dumbbell,triceps,shoulders
Standing Bent-Over Two-Arm Dumbbell Triceps Extension,strength,isolation,push,beginner,dumbbell,triceps,
Standing Biceps Cable Curl,strength,isolation,pull,beginner,cable,biceps,
Standing Biceps Stretch,stretching,isolation,static,beginner,other,biceps,chest; shoulders
Standing Bradford Press,strength,compound,push,beginner,barbell,shoulders,triceps
Standing Cable Chest Press,strength,compound,push,beginner,cable,chest,shoulders; triceps
Standing Cable Lift,strength,compound,pull,beginner,cable,abdominals,shoulders
Standing Cable Wood Chop,strength,compound,pull,beginner,cable,abdominals,shoulders
Standing Calf Raises,strength,isolation,push,beginner,machine,calves,
Standing Concentration Curl,strength,isolation,pull,beginner,dumbbell,biceps,forearms
Standing Dumbbell Calf Raise,strength,isolation,push,intermediate,dumbbell,calves,
Standing Dumbbell Press,strength,compound,push,beginner,dumbbell,shoulders,triceps
Standing Dumbbell Reverse Curl,strength,isolation,pull,intermediate,dumbbell,biceps,forearms
Standing Dumbbell Straight-Arm Front Delt Raise Above Head,strength,isolation,push,intermediate,dumbbell,shoulders,
Standing Dumbbell Triceps Extension,strength,isolation,push,beginner,dumbbell,triceps,
Standing Dumbbell Upright Row,strength,compound,pull,beginner,dumbbell,traps,biceps; shoulders
Standing Elevated Quad Stretch,stretching,,static,beginner,other,quadriceps,
Standing Front Barbell Raise Over Head,strength,isolation,push,intermediate,barbell,shoulders,
Standing Gastrocnemius Calf Stretch,stretching,,static,beginner,,calves,hamstrings
Standing Hamstring and Calf Stretch,stretching,,static,beginner,other,hamstrings,
Standing Hip Circles,stretching,isolation,pull,beginner,body only,abductors,adductors
Standing Hip Flexors,stretching,isolation,static,beginner,,quadriceps,
Standing Inner-Biceps Curl,strength,isolation,pull,intermediate,dumbbell,biceps,
Standing Lateral Stretch,stretching,,static,beginner,,abdominals,
Standing Leg Curl,strength,isolation,pull,beginner,machine,hamstrings,
Standing Long Jump,plyometrics,compound,push,beginner,body only,quadriceps,calves; glutes; hamstrings
Standing Low-Pulley Deltoid Raise,strength,isolation,push,beginner,cable,shoulders,forearms
Standing Low-Pulley One-Arm Triceps Extension,strength,isolation,push,intermediate,cable,triceps,chest; shoulders
Standing Military Press,strength,compound,push,beginner,barbell,shoulders,triceps
Standing Olympic Plate Hand Squeeze,strength,isolation,static,beginner,other,forearms,biceps
Standing One-Arm Cable Curl,strength,isolation,pull,intermediate,cable,biceps,
Standing One-Arm Dumbbell Curl Over Incline Bench,strength,isolation,pull,beginner,dumbbell,biceps,
Standing One-Arm Dumbbell Triceps Extension,strength,isolation,push,beginner,dumbbell,triceps,chest; shoulders
Standing Overhead Barbell Triceps Extension,strength,isolation,push,beginner,barbell,triceps,shoulders
Standing Palm-In One-Arm Dumbbell Press,strength,compound,push,beginner,dumbbell,shoulders,triceps
Standing Palms-In Dumbbell Press,strength,compound,push,intermediate,dumbbell,shoulders,triceps
Standing Palms-Up Barbell Behind The Back Wrist Curl,strength,isolation,pull,beginner,barbell,forearms,
Standing Pelvic Tilt,stretching,isolation,static,beginner,,lower back,glutes
Standing Rope Crunch,strength,isolation,pull,beginner,cable,abdominals,
Standing Soleus And Achilles Stretch,stretching,isolation,static,beginner,,calves,
Standing Toe Touches,stretching,,static,beginner,,hamstrings,calves
Standing Towel Triceps Extension,strength,isolation,push,beginner,body only,triceps,
Standing Two-Arm Overhead Throw,plyometrics,compound,pull,beginner,medicine ball,shoulders,chest; lats
Star Jump,plyometrics,compound,push,beginner,body only,quadriceps,calves; glutes; hamstrings; shoulders
Step Mill,cardio,,,intermediate,machine,quadriceps,calves; glutes; hamstrings
Step-up with Knee Raise,strength,compound,push,beginner,body only,glutes,hamstrings; quadriceps
Stiff Leg Barbell Good Morning,strength,compound,push,beginner,barbell,lower back,glutes; hamstrings
Stiff-Legged Barbell Deadlift,strength,compound,pull,intermediate,barbell,hamstrings,glutes; lower back
Stiff-Legged Dumbbell Deadlift,strength,compound,pull,beginner,dumbbell,hamstrings,glutes; lower back
Stomach Vacuum,stretching,isolation,static,beginner,body only,abdominals,
Straight Bar Bench Mid Rows,strength,compound,pull,beginner,barbell,middle back,biceps; lats
Straight Raises on Incline Bench,strength,isolation,push,beginner,barbell,shoulders,traps
Straight-Arm Dumbbell Pullover,strength,compound,pull,intermediate,dumbbell,chest,lats; shoulders; triceps
Straight-Arm Pulldown,strength,isolation,pull,beginner,cable,lats,
Stride Jump Crossover,plyometrics,compound,push,beginner,other,quadriceps,abductors; adductors; calves; hamstrings
Sumo Deadlift,powerlifting,compound,pull,intermediate,barbell,hamstrings,adductors; forearms; glutes; lower back; middle back; quadriceps; traps
Sumo Deadlift with Bands,powerlifting,compound,pull,intermediate,barbell,hamstrings,adductors; forearms; glutes; lower back; middle back; quadriceps; traps
Sumo Deadlift with Chains,powerlifting,compound,pull,intermediate,barbell,hamstrings,abductors; adductors; forearms; glutes; lower back; middle back; quadriceps; traps
Superman,stretching,compound,static,beginner,body only,lower back,glutes; hamstrings
Supine Chest Throw,plyometrics,compound,push,beginner,medicine ball,triceps,chest; shoulders
Supine One-Arm Overhead Throw,plyometrics,compound,pull,beginner,medicine ball,abdominals,chest; lats; shoulders
Supine Two-Arm Overhead Throw,plyometrics,compound,pull,beginner,medicine ball,abdominals,chest; lats; shoulders
Suspended Fallout,strength,isolation,pull,intermediate,other,abdominals,chest; lower back; shoulders
Suspended Push-Up,strength,compound,push,beginner,other,chest,shoulders; triceps
Suspended Reverse Crunch,strength,isolation,pull,beginner,other,abdominals,
Suspended Row,strength,compound,pull,beginner,other,middle back,biceps; lats
Suspended Split Squat,strength,compound,push,intermediate,other,quadriceps,abductors; adductors; calves; glutes; hamstrings
Svend Press,strength,compound,push,beginner,other,chest,forearms; shoulders; triceps
T-Bar Row with Handle,strength,compound,pull,beginner,barbell,middle back,biceps; lats
Tate Press,strength,isolation,push,intermediate,dumbbell,triceps,chest; shoulders
The Straddle,stretching,,static,beginner,,hamstrings,adductors; calves
Thigh Abductor,strength,isolation,push,beginner,machine,abductors,glutes
Thigh Adductor,strength,isolation,pull,beginner,machine,adductors,glutes; hamstrings
Tire Flip,strongman,compound,pull,intermediate,other,quadriceps,calves; chest; forearms; glutes; hamstrings; lower back; shoulders; traps; triceps
Toe Touchers,stretching,isolation,pull,beginner,body only,abdominals,
Torso Rotation,stretching,,pull,beginner,exercise ball,abdominals,
Trail Running/Walking,cardio,,,beginner,,quadriceps,calves; glutes; hamstrings
Trap Bar Deadlift,strength,compound,pull,beginner,other,quadriceps,glutes; hamstrings
Tricep Dumbbell Kickback,strength,isolation,push,beginner,dumbbell,triceps,
Tricep Side Stretch,stretching,,static,beginner,,triceps,shoulders
Triceps Overhead Extension with Rope,strength,isolation,push,beginner,cable,triceps,
Triceps Pushdown,strength,isolation,push,beginner,cable,triceps,
Triceps Pushdown - Rope Attachment,strength,isolation,push,beginner,cable,triceps,
Triceps Pushdown - V-Bar Attachment,strength,isolation,push,beginner,cable,triceps,
Triceps Stretch,stretching,isolation,static,beginner,,triceps,lats
Tuck Crunch,strength,isolation,pull,beginner,body only,abdominals,
Two-Arm Dumbbell Preacher Curl,strength,isolation,pull,beginner,dumbbell,biceps,
Two-Arm Kettlebell Clean,strength,compound,pull,intermediate,kettlebells,shoulders,calves; glutes; hamstrings; lower back; traps
Two-Arm Kettlebell Jerk,strength,compound,push,intermediate,kettlebells,shoulders,calves; quadriceps; triceps
Two-Arm Kettlebell Military Press,strength,compound,push,intermediate,kettlebells,shoulders,triceps
Two-Arm Kettlebell Row,strength,compound,pull,intermediate,kettlebells,middle back,biceps; lats
Underhand Cable Pulldowns,strength,compound,pull,beginner,cable,lats,biceps; middle back; shoulders
Upper Back Stretch,stretching,,static,beginner,,middle back,middle back
Upper Back-Leg Grab,stretching,,static,beginner,,hamstrings,lower back; middle back
Upright Barbell Row,strength,compound,pull,beginner,barbell,shoulders,traps
Upright Cable Row,strength,compound,pull,intermediate,cable,traps,shoulders
Upright Row - With Bands,strength,compound,pull,beginner,bands,traps,shoulders
Upward Stretch,stretching,,static,beginner,,shoulders,chest; lats
V-Bar Pulldown,strength,compound,pull,intermediate,cable,lats,biceps; middle back; shoulders
V-Bar Pullup,strength,compound,pull,beginner,body only,lats,biceps; middle back; shoulders
Vertical Swing,plyometrics,compound,pull,beginner,dumbbell,hamstrings,glutes; quadriceps; shoulders
"Walking, Treadmill",cardio,,,beginner,machine,quadriceps,calves; glutes; hamstrings
Weighted Ball Hyperextension,strength,compound,pull,intermediate,exercise ball,lower back,glutes; hamstrings; middle back
Weighted Ball Side Bend,strength,isolation,pull,intermediate,exercise ball,abdominals,
Weighted Bench Dip,strength,compound,push,intermediate,other,triceps,chest; shoulders
Weighted Crunches,strength,isolation,pull,beginner,medicine ball,abdominals,
Weighted Jump Squat,strength,compound,push,intermediate,barbell,quadriceps,calves; glutes; hamstrings; lower back
Weighted Pull Ups,strength,compound,pull,intermediate,other,lats,biceps; middle back
Weighted Sissy Squat,strength,compound,push,expert,barbell,quadriceps,calves; glutes; hamstrings
Weighted Sit-Ups - With Bands,strength,isolation,pull,intermediate,other,abdominals,
Weighted Squat,strength,compound,push,intermediate,other,quadriceps,calves; glutes; hamstrings
Wide Stance Barbell Squat,strength,compound,push,intermediate,barbell,quadriceps,calves; glutes; hamstrings; lower back
Wide Stance Stiff Legs,olympic weightlifting,compound,pull,intermediate,barbell,hamstrings,adductors; glutes; lower back
Wide-Grip Barbell Bench Press,strength,compound,push,intermediate,barbell,chest,shoulders; triceps
Wide-Grip Decline Barbell Bench Press,strength,compound,push,intermediate,barbell,chest,shoulders; triceps
Wide-Grip Decline Barbell Pullover,strength,compound,pull,intermediate,barbell,chest,shoulders; triceps
Wide-Grip Lat Pulldown,strength,compound,pull,beginner,cable,lats,biceps; middle back; shoulders
Wide-Grip Pulldown Behind The Neck,strength,compound,pull,intermediate,cable,lats,biceps; middle back; shoulders
Wide-Grip Rear Pull-Up,strength,compound,pull,intermediate,body only,lats,biceps; middle back; shoulders
Wide-Grip Standing Barbell Curl,strength,isolation,pull,beginner,barbell,biceps,
Wind Sprints,strength,compound,pull,beginner,body only,abdominals,
Windmills,stretching,,pull,intermediate,,abductors,glutes; hamstrings; lower back
World's Greatest Stretch,stretching,,static,intermediate,,hamstrings,calves; glutes; quadriceps
Wrist Circles,stretching,isolation,pull,beginner,body only,forearms,
Wrist Roller,strength,isolation,pull,beginner,other,forearms,shoulders
Wrist Rotations with Straight Bar,strength,isolation,pull,beginner,barbell,forearms,
Yoke Walk,strongman,compound,,intermediate,other,quadriceps,abdominals; abductors; adductors; calves; glutes; hamstrings; lower back
Zercher Squats,strength,compound,push,expert,barbell,quadriceps,calves; glutes; hamstrings
Zottman Curl,strength,isolation,pull,intermediate,dumbbell,biceps,forearms
Zottman Preacher Curl,strength,isolation,pull,intermediate,dumbbell,biceps,forearms
